"","runner","gender","age","course","vp","time"
"664",202,0,30,45,0,137
"667",203,1,30,2,0,157
"668",203,1,34,77,1,149.5166667
"669",203,1,30,6,0,152.1
"670",203,1,32,45,0,154.7833333
"671",203,1,31,48,0,156.2333333
"672",203,1,33,66,0,154.5666667
"674",203,1,30,17,0,151.7333333
"675",203,1,31,36,0,150.0166667
"676",203,1,32,55,0,150.4166667
"677",203,1,33,73,0,159
"678",204,1,32,26,0,162.15
"679",205,1,39,41,1,155.3166667
"680",205,1,38,31,0,168.2166667
"681",205,1,41,88,1,162.3
"682",205,1,38,39,0,151.2333333
"683",206,0,25.3333333333333,27,0,138.5
"684",206,0,27,47,0,138.5666667
"685",206,0,27,73,0,142.4666667
"687",207,0,27.5,30,0,133
"688",207,0,26,9,0,132.9333333
"689",207,0,28,40,0,135.4666667
"690",207,0,29,50,0,138.65
"691",207,0,30,76,0,129.4166667
"692",207,0,30,68,0,132.4
"693",207,0,31,85,0,130.75
"694",208,0,27,4,0,143.6666667
"695",209,0,30,1,0,145.7833333
"696",209,0,33.3333333333333,20,0,157.55
"697",209,0,31,2,0,143.4666667
"699",209,0,34,59,1,138.6833333
"700",209,0,34,81,1,144.3666667
"702",210,1,34,2,0,159.2666667
"703",210,1,35,39,0,172.1166667
"704",211,0,31,30,0,137.3166667
"705",211,0,30,1,0,134.2833333
"706",212,1,40,20,0,152.4666667
"707",212,1,39,11,0,148.7666667
"708",213,1,29,78,0,168.4
"709",213,1,25,6,0,160.9166667
"710",213,1,26,39,0,177.75
"711",214,1,41,76,0,168.9166667
"712",214,1,40,41,0,162.9666667
"714",214,1,37,6,0,159.9833333
"715",214,1,41,81,0,161.1833333
"716",214,1,39,36,0,164.6166667
"717",214,1,38.5,39,0,169.6166667
"718",215,1,25,21,0,164.3166667
"719",215,1,26,41,0,162.5
"720",215,1,28,78,1,154.6166667
"721",215,1,25,39,0,169
"722",216,1,34,16,0,156
"723",217,0,33,31,0,142
"724",218,0,28,6,0,136.5666667
"725",219,0,33,8,0,138
"726",219,0,34,27,0,146.05
"727",219,0,37,83,0,144.25
"728",219,0,34,30,0,149.65
"729",219,0,33,6,0,139.7666667
"730",219,0,33,7,0,142.6166667
"731",219,0,36,63,0,141.6
"732",219,0,37,81,0,141.9
"733",220,1,40,58,0,177.4833333
"734",220,1,37.5,3,0,150.1166667
"737",221,1,30,9,0,156.3
"738",222,0,31,6,0,138.35
"739",222,0,31,16,0,138.7166667
"740",222,0,33,55,0,141.4333333
"741",222,0,34,63,1,140.6166667
"742",222,0,36,77,1,137.45
"743",223,0,42,54,0,146.1333333
"744",223,0,28,16,0,142.5833333
"746",224,0,24.75,30,0,147.4333333
"747",224,0,24,13,0,138.1166667
"748",224,0,25,21,0,139.9333333
"750",224,0,28,85,1,134.2166667
"753",225,0,28.75,30,0,147.05
"754",225,0,30.75,69,1,138.5666667
"755",225,0,27,7,0,138.2
"756",225,0,29,22,0,140.3666667
"757",225,0,30,45,0,139.8833333
"758",225,0,31,59,0,144.3666667
"759",226,0,27,36,0,140.35
"760",227,0,35,9,0,143.3833333
"761",228,0,26,6,0,131.5833333
"762",228,0,26,14,0,140.4166667
"763",228,0,28,45,0,138.6166667
"764",229,0,24,2,0,140.4666667
"765",229,0,24,28,0,137.4333333
"766",229,0,25,22,0,155.7
"767",229,0,25,48,0,145.9666667
"768",230,0,29,83,1,138.95
"769",230,0,25,2,0,143.5333333
"770",230,0,27,41,0,143.2833333
"771",230,0,28,59,1,141.85
"772",231,1,26.5,78,1,163.6833333
"773",231,1,23,26,0,151.55
"774",231,1,23,16,0,155.0833333
"775",232,0,24,28,0,138.8833333
"776",233,1,26,1,0,149.1166667
"777",233,1,27.5,20,0,150.8333333
"778",233,1,28,31,0,149.1333333
"779",234,0,30,24,0,138.9
"781",234,0,29,9,0,142.0166667
"782",235,0,35.6666666666667,90,1,131.8666667
"783",235,0,32,11,0,138.1
"784",235,0,35,84,1,132.0166667
"785",235,0,35,68,1,133.9166667
"786",236,1,34,28,0,164.7333333
"787",236,1,36,72,0,159.1666667
